"Symbol"
"AXP"
"BA"
"CVX"
"DD"
"DIS"
"DOW"
"GE"
"HPQ"
"IBM"
"JNJ"
"JPM"
"KO"
"MCD"
"MMM"
"MRK"
"MSFT"
"PG"
"WFC"
"WMT"
"XOM"
