"Symbol"
"AEM"
"AG"
"AGI"
"AU"
"AUY"
"BTG"
"BVN"
"CDE"
"EGO"
"FCX"
"FNV"
"GFI"
"GOLD"
"GORO"
"HL"
"HMY"
"IAG"
"KGC"
"MAG"
"MUX"
"NEM"
"NG"
"NGD"
"PAAS"
"RGLD"
"SA"
"SAND"
"SBSW"
"SSRM"
"WPM"
