"Symbol"
"AEE"
"AEP"
"AES"
"AWK"
"CEG"
"CNP"
"D"
"DTE"
"DUK"
"ED"
"EIX"
"ES"
"ETR"
"EXC"
"FE"
"NEE"
"PEG"
"PNW"
"SO"
"WEC"
"XEL"
